ID|BCode|d|DD|B|Cr|Cor|nlimz|nlimy
1|619/3|3|8|3|0.45|0.15|38000|48000
2|623|3|10|4|0.65|0.22|38000|48000
3|628/4|4|9|4|0.55|0.18|38000|48000
4|619/4|4|11|4|0.95|0.35|36000|45000
5|624|4|13|5|1.15|0.4|36000|45000
6|634|4|16|5|1.88|0.68|32000|40000
7|619/5|5|13|4|1.08|0.42|34000|43000
8|605|5|14|5|1.05|0.5|30000|38000
9|625|5|16|5|1.88|0.68|32000|40000
10|635|5|19|6|2.80|1.02|28000|36000
11|628/6|6|13|5|1.08|0.42|34000|43000
12|619/6|6|15|5|1.48|0.60|32000|40000
13|606|6|17|6|1.95|0.72|30000|38000
14|626|6|19|6|2.80|1.05|28000|36000
15|628/7|7|14|5|1.18|0.50|32000|40000
16|619/7|7|17|5|2.02|0.80|30000|38000
17|607|7|19|6|2.88|1.08|28000|36000
18|627|7|22|7|3.28|1.35|26000|34000
19|628/8|8|16|5|1.32|0.65|30000|38000
20|619/8|8|19|6|2.25|0.92|28000|36000
21|608|8|22|7|3.32|1.38|26000|34000
22|628|8|24|8|3.35|1.40|24000|32000
23|628/9|9|17|5|1.60|0.72|28000|36000
24|619/9|9|20|6|2.48|1.08|27000|34000
25|609|9|24|7|3.35|1.40|22000|30000
26|629|9|26|8|4.45|1.95|22000|30000
27|61800|10|19|5|1.80|0.93|28000|36000
28|61900|10|22|6|2.70|1.30|25000|32000
29|6000|10|26|8|4.58|1.98|22000|30000
30|6200|10|30|9|5.10|2.38|20000|26000
31|6300|10|35|11|7.65|3.48|18000|24000
32|61801|12|21|5|1.90|1.00|24000|32000
33|61901|12|24|6|2.90|1.50|22000|28000
34|16001|12|28|7|5.10|2.40|20000|26000
35|6001|12|28|8|5.10|2.38|20000|26000
36|6201|12|32|10|6.82|3.05|19000|24000
37|6301|12|37|12|9.72|5.08|17000|22000
38|61802|15|24|5|2.10|1.30|22000|30000
39|61902|15|28|7|4.30|2.30|20000|26000
40|16002|15|32|8|5.60|2.80|19000|24000
41|6002|15|32|9|5.58|2.85|19000|24000
42|6202|15|35|11|7.65|3.72|18000|22000
43|6302|15|42|13|11.5|5.42|16000|20000
44|61803|17|26|5|2.20|1.5|20000|28000
45|61903|17|30|7|4.60|2.6|19000|24000
46|16003|17|35|8|6.00|3.3|18000|22000
47|6003|17|35|10|6.00|3.25|17000|21000
48|6203|17|40|12|9.58|4.78|16000|20000
49|6303|17|47|14|13.5|6.58|15000|18000
50|6403|17|62|17|22.7|10.8|11000|15000
51|61804|20|32|7|3.50|2.20|18000|24000
52|61904|20|37|9|6.40|3.70|17000|22000
53|16004|20|42|8|7.90|4.50|16000|19000
54|6004|20|42|12|9.38|5.02|16000|19000
55|6204|20|47|14|12.8|6.65|14000|18000
56|6304|20|52|15|15.8|7.88|13000|16000
57|6404|20|72|19|31.0|15.2|9500|13000
58|61805|25|37|7|4.3|2.90|16000|20000
59|61905|25|42|9|7.0|4.50|14000|18000
60|16005|25|47|8|8.8|5.60|13000|17000
61|6005|25|47|12|10.0|5.85|13000|17000
62|6205|25|52|15|14.0|7.88|12000|15000
63|6305|25|62|17|22.2|11.5|10000|14000
64|6405|25|80|21|38.2|19.2|8500|11000
65|61806|30|42|7|4.70|3.60|13000|17000
66|61906|30|47|9|7.20|5.00|12000|16000
67|16006|30|55|9|11.2|7.40|11000|14000
68|6006|30|55|13|13.2|8.30|11000|14000
69|6206|30|62|16|19.5|11.5|9500|13000
70|6306|30|72|19|27.0|15.2|9000|11000
71|6406|30|90|23|47.5|24.5|8000|10000
72|61807|35|47|7|4.90|4.00|11000|15000
73|61907|35|55|10|9.50|6.80|10000|13000
74|16007|35|62|9|12.2|8.80|9500|12000
75|6007|35|62|14|16.2|10.5|9500|12000
76|6207|35|72|17|25.5|15.2|8500|11000
77|6307|35|80|21|33.4|19.2|8000|9500
78|6407|35|100|25|56.8|29.5|6700|8500
79|61808|40|52|7|5.10|4.40|10000|13000
80|61908|40|62|12|13.7|9.90|9500|12000
81|16008|40|68|9|12.6|9.60|9000|11000
82|6008|40|68|15|17.0|11.8|9000|11000
83|6208|40|80|18|29.5|18.0|8000|10000
84|6308|40|90|23|40.8|24.0|7000|8500
85|6408|40|110|27|65.5|37.5|6300|8000
86|61809|45|58|7|6.40|5.60|9000|12000
87|61909|45|68|12|14.1|10.90|8500|11000
88|16009|45|75|10|15.6|12.2|8000|10000
89|6009|45|75|16|21.0|14.8|8000|10000
90|6209|45|85|19|31.5|20.5|7000|9000
91|6309|45|100|25|52.8|31.8|6300|7500
92|6409|45|120|29|77.5|45.5|5600|7000
93|61810|50|65|7|6.6|6.1|8500|10000
94|61910|50|72|12|14.5|11.7|8000|9500
95|16010|50|80|10|16.1|13.1|8000|9500
96|6010|50|80|16|22.0|16.2|7000|9000
97|6210|50|90|20|35.0|23.2|6700|8500
98|6310|50|110|27|61.8|38.0|6000|7000
99|6410|50|130|31|92.2|55.2|5300|6300
100|61811|55|72|9|9.1|8.4|8000|9500
101|61911|55|80|13|15.9|13.2|7500|9000
102|16011|55|90|11|19.4|16.2|7000|8500
103|6011|55|90|18|30.2|21.8|7000|8500
104|6211|55|100|21|43.2|29.2|6000|7500
105|6311|55|120|29|71.5|44.8|5600|6700
106|6411|55|140|33|100|62.5|4800|6000
107|61812|60|78|10|9.1|8.7|7000|8500
108|61912|60|85|13|16.4|14.2|6700|8000
